37.621028,-122.069575,94544-6305
37.799202,-122.173698,94619-2368
36.460165,-92.569119,
37.814349,-122.277633,94607-3430
37.805440,-122.258003,94610-5000
37.721286,-122.166909,94577-2514
37.672155,-121.903232,94566-8643
37.717038,-121.728730,94551-1224
37.866258,-122.278007,94703-1646
37.661513,-121.869415,94566-7139
37.687906,-122.144538,94579-2106
37.542288,-122.031586,94560-2554
37.771850,-122.191907,94605-1306
53.348070,-6.248274,
37.524756,-121.989050,94538-2442
37.560389,-121.990889,94536-3803
37.890135,-122.261441,94708-1609
37.854258,-122.242809,94705-2411
37.692389,-121.923549,94588-8018
37.675245,-121.757829,
37.858042,-122.243758,94705-2430
37.658085,-121.908275,94588-3126
37.811992,-122.241734,94610-2223
37.736227,-122.242059,94502-6912
37.897906,-122.302380,94706-1104
37.747094,-122.247618,94502-7435
37.736227,-122.242059,94502-6912
37.524642,-121.936639,94539-5663
